Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Fever 2,Friday,$99.00,PBEFFECT,https://a8qh.short.gy/Fever102,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,8.03,112,28%,6.95,86%,238,Very High,2015,55.9,52%,35.6,27%,40%,53.0,Firepower Balanced
Original,Friday,$69.00,PBEFFECT,https://a8qh.short.gy/Friday,2024,USAP,Hybrid,Paint Grit,Gen 2,All-Court,16,5.50,4.25,8.20,118,71%,6.29,45%,239,Medium,1926,56.3,68%,35.3,18%,43%,56.0,Firepower Balanced
RCF-Airbender 16,Gamma,$199.99,PBEFFECT,https://a8qh.short.gy/Bender,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.13,8.45,118,71%,5.80,12%,,Medium,1896,54.9,22%,34.9,11%,17%,34.0,Firepower Soft
RCF-Obsidian 10,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O10,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,10,5.75,4.13,7.90,116,57%,5.87,16%,243,Low,1813,55.0,26%,36.1,46%,36%,45.0,Firepower Control+
RCF-Obsidian 13,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O13,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.75,4.13,8.03,116,57%,6.18,36%,240,Medium,1893,54.4,17%,34.8,8%,12%,27.0,Firepower Soft
RCF-Obsidian 16,Gamma,$159.99,PBEFFECT,https://a8qh.short.gy/O16,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.13,8.13,120,83%,6.53,60%,244,Medium,1897,55.2,30%,34.6,6%,18%,36.0,Firepower Control+
CX14H Ultimate Power,Gearbox,$249.99,N/A,https://a8qh.short.gy/CX14U,2023,USAP,Widebody,Paint Grit,Gen 1/Edgeless,All-Court,14,5.50,4.00,8.50,96,0%,5.31,2%,203,,,,,,,,,
GX2 Elongated,Gearbox,$269.99,PBEFFECT,https://a8qh.short.gy/GX2E,2025,USAP,Elongated,Raw Texture/Peel Ply,No Gen,All-Court,16,5.50,4.13,7.94,120,83%,5.65,8%,250,Very High,2047,56.0,56%,36.1,46%,51%,58.0,Firepower Balanced
GX2 Hyper,Gearbox,$269.99,PBEFFECT,https://a8qh.short.gy/GX2H,2025,USAP,Widebody,Raw Texture/Peel Ply,No Gen,All-Court,16,5.50,4.13,8.00,109,13%,6.51,60%,240,Very High,2009,55.4,34%,36.1,46%,40%,50.0,Firepower Balanced
GX2 Integra XL,Gearbox,$269.99,PBEFFECT,https://a8qh.short.gy/GX2I,2025,USAP,Hybrid,Raw Texture/Peel Ply,No Gen,All-Court,16,5.50,4.13,7.91,118,71%,5.69,9%,248,Very High,2025,55.9,52%,35.9,36%,44%,55.0,Firepower Balanced
GX2 Power Elongated,Gearbox,$279.99,PBEFFECT,https://a8qh.short.gy/GX2PE,2025,USAP,Elongated,Raw Texture/Peel Ply,No Gen,Power,16,5.50,4.13,8.00,118,71%,6.22,39%,246,Very High,2021,56.9,90%,36.5,67%,79%,72.0,Firepower High
GX2 Power Hybrid,Gearbox,$279.99,PBEFFECT,https://a8qh.short.gy/GX2PH,2025,USAP,Hybrid,Raw Texture/Peel Ply,No Gen,Power,16,5.50,4.13,7.90,113,35%,6.66,71%,242,Very High,2049,56.8,86%,36.6,72%,79%,72.0,Firepower High
Pro Control Elongated,Gearbox,$274.99,N/A,https://a8qh.short.gy/PCE,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.50,4.00,8.07,123,92%,5.01,0%,247,Medium,1914,54.1,13%,34.2,3%,8%,19.0,Firepower Soft
Pro Control Integra,Gearbox,$274.99,N/A,https://a8qh.short.gy/PCF,2023,USAP,Widebody,Raw Texture/Peel Ply,Gen 3/Edgeless,All-Court,14,5.50,4.00,7.95,116,57%,5.12,1%,246,High,1954,53.9,11%,34.8,8%,10%,20.0,Firepower Soft
Pro Power Elongated,Gearbox,$274.99,N/A,https://a8qh.short.gy/PPE,2023,Unapproved,Elongated,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,4.00,7.88,121,86%,5.16,1%,248,High,1986,57.4,97%,36.9,85%,91%,82.0,Firepower Elite
Pro Power Integra,Gearbox,$274.99,N/A,https://a8qh.short.gy/PPF,2023,USAP,Widebody,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,4.00,7.98,114,43%,4.96,0%,241,High,1951,56.1,61%,36.1,46%,54%,59.0,Firepower Balanced
Pro Ultimate Elongated 14,Gearbox,$274.99,N/A,https://a8qh.short.gy/gpu14,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,14,5.50,4.00,8.05,125,97%,5.34,2%,255,High,1993,56.8,86%,36.0,41%,63%,67.0,Firepower High
Pro Ultimate Elongated 16,Gearbox,$274.99,N/A,https://a8qh.short.gy/GPU,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,16,5.50,4.00,8.00,124,95%,5.38,3%,256,High,1987,56.8,86%,35.9,36%,61%,67.0,Firepower High
Pro Ultimate Hyper,Gearbox,$274.99,N/A,https://a8qh.short.gy/PUH,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 3/Edgeless,Power,16,5.25,4.00,8.00,115,49%,6.36,51%,248,High,1986,56.1,61%,36.6,72%,67%,63.0,Firepower Balanced
Draco,Gherkin,$179.99,PBEFFECT,https://a8qh.short.gy/draco,2026,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,8.00,113,35%,6.66,71%,235,Very High,2062,56.8,86%,37.0,89%,88%,75.0,Firepower High
Nightshade E,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/nse,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,4.13,7.90,116,57%,6.01,25%,242,,,,,,,,,
Nightshade H,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/nsh,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,4.13,7.98,113,35%,6.15,35%,238,Very High,2007,54.6,20%,36.2,51%,35%,40.0,Firepower Control+
Wraith E,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/wraithE,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,8.00,116,57%,5.96,23%,241,Very High,2061,56.7,84%,36.2,51%,67%,68.0,Firepower High
Wraith H ,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/wraithH,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,8.00,111,23%,6.10,30%,236,Very High,2035,56.7,84%,36.4,62%,73%,69.0,Firepower High
Wraith S,Gherkin,$135.00,PBEFFECT,https://a8qh.short.gy/wraithS,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,7.96,107,6%,6.50,59%,232,Very High,2043,56.6,81%,36.5,67%,74%,68.0,Firepower High
LAZR-16S,Gruvn,$169.99,PBEFFECT,https://a8qh.short.gy/L16S,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.40,4.13,8.00,108,10%,7.13,91%,234,,,,,,,,,
LAZR-16X,Gruvn,$169.99,PBEFFECT,https://a8qh.short.gy/L16X,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.00,118,71%,6.41,54%,241,,,,,,,,,
LAZR-16X Full Foam,Gruvn,$169.00,PBEFFECT,https://a8qh.short.gy/lfm,2026,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.13,7.98,118,71%,6.34,49%,245,Very High,2023,56.6,81%,36.5,67%,74%,68.0,Firepower High
MUVN-13S,Gruvn,$159.00,PBEFFECT,https://a8qh.short.gy/M13S,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.50,4.13,7.90,100,0%,6.40,53%,224,,,,,,,,,
MUVN-16HD Full Foam,Gruvn,$169.00,PBEFFECT,https://a8qh.short.gy/mff,2026,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.13,8.20,115,49%,6.67,71%,240,Very High,2031,55.3,33%,35.8,34%,34%,46.0,Firepower Control+
Boom Tour EX,Head,$200.00,PBEFFECT,https://a8qh.short.gy/BoomT,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Power,11,5.50,4.13,7.84,116,57%,5.46,4%,244,Very High,2074,56.5,77%,38.2,100%,88%,80.0,Firepower Elite
Radical Nite,Head,$219.00,PBEFFECT,https://a8qh.short.gy/Nite,2024,USAP,Elongated,Paint Grit,Gen 2,Control,15,5.50,4.13,8.11,115,49%,5.91,20%,236,,,,,,,,,
Radical Pro15,Head,$200.00,PBEFFECT,Coming Feb 26,2026,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,,15,5.00,4.13,8.50,120,83%,6.85,82%,235,,,,,,,,,
Radical ProEX15,Head,$200.00,PBEFFECT,Coming Feb 26,2026,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,,15,5.50,4.13,8.13,113,35%,6.56,63%,235,,,,,,,,,
Tour Radical Raw EX,Head,$169.95,PBEFFECT,https://a8qh.short.gy/EXRaw,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 1,Control,15,5.50,4.13,8.17,115,49%,5.56,6%,236,,,,,,,,,
Aero Metallic TI (16mm),Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/PAM ,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,7.95,117,64%,5.85,16%,240,High,1982,55.3,33%,35.5,23%,28%,44.0,Firepower Control+
Aero S (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AS16 ,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,4.25,7.80,105,3%,6.63,69%,232,,,,,,,,,
Aero T (14mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AT14 ,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,4.25,7.80,115,49%,5.70,10%,241,High,1968,55.7,43%,36.3,57%,50%,55.0,Firepower Balanced
Aero T (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AT16 ,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,7.81,113,35%,5.69,9%,238,Very High,2016,55.9,52%,36.2,51%,51%,57.0,Firepower Balanced
Aero X (14mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AX14 ,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.25,4.25,7.80,112,28%,5.83,14%,239,High,1974,55.2,30%,36.2,51%,40%,48.0,Firepower Control+
Aero X (16mm),Holbrook,$199.99,PBEFFECT,https://a8qh.short.gy/AX16 ,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,7.82,113,35%,5.82,14%,238,High,1974,55.8,48%,36.1,46%,47%,55.0,Firepower Balanced
Arma S,Holbrook,$279.99,PBEFFECT,https://a8qh.short.gy/AS,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,Power,14,,4.25,8.10,112,28%,7.11,91%,236,,,,,,,,,
Arma T,Holbrook,$279.99,PBEFFECT,https://a8qh.short.gy/AT,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.25,8.00,117,64%,6.23,40%,242,,,,,,,,,
Arma X,Holbrook,$279.99,PBEFFECT,https://a8qh.short.gy/AX,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,,4.25,8.20,118,71%,6.38,52%,240,,,,,,,,,
Fuze Elongated 14,Holbrook,$229.99,Link applies code,https://a8qh.short.gy/fe14,2026,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 4,Power,14,5.50,4.25,7.80,114,43%,6.20,38%,242,Very High,2016,57.0,93%,36.7,79%,86%,75.0,Firepower High
Fuze Elongated 16,Holbrook,$229.99,Link applies code,https://a8qh.short.gy/fe16,2026,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.94,116,57%,5.95,22%,242,Very High,2058,57.2,96%,36.9,85%,90%,79.0,Firepower High
Fuze Hybrid 16,Holbrook,$229.99,Link applies code,https://a8qh.short.gy/fh16,2026,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.90,113,35%,6.23,40%,240,Very High,2021,56.9,90%,37.1,92%,91%,77.0,Firepower High
Fuze Widebody 16,Holbrook,$229.99,Link applies code,https://a8qh.short.gy/fw16,2026,USAP,Widebody,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.90,112,28%,6.80,79%,239,Very High,2042,56.9,90%,36.8,82%,86%,75.0,Firepower High
Mav Pro,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/MP,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,13,5.50,4.25,8.17,123,92%,6.10,30%,245,,,,,,,,,
Power Pro,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/HP,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.03,121,86%,6.39,52%,241,,,,,,,,,
Pro Power E,Holbrook,$219.99,PBEFFECT,https://a8qh.short.gy/HPE,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.25,122,89%,6.68,73%,241,,,,,,,,,
J2FC+,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/NFC+,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,8.00,111,23%,6.70,74%,235,Very High,2002,56.3,68%,36.5,67%,68%,65.0,Firepower High
J2NF,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J2NFC,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,7.95,110,18%,6.67,71%,236,Very High,2054,56.1,61%,36.2,51%,56%,60.0,Firepower Balanced
J2NF LH,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/NFLH,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.13,8.00,109,13%,6.60,66%,235,Very High,2060,56.2,65%,36.3,57%,61%,62.0,Firepower Balanced
J2NFK,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J2NFK,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,8.10,112,28%,6.81,80%,236,Very High,2041,56.4,74%,36.3,57%,65%,64.0,Firepower Balanced
J2NFT,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J2NFT,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,5.30,4.13,8.30,114,43%,6.89,84%,236,Very High,2084,56.3,68%,36.0,41%,55%,61.0,Firepower Balanced
J3NF,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J3NF,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.13,7.98,110,18%,6.70,74%,235,Very High,2073,56.3,68%,36.5,67%,68%,65.0,Firepower High
J6CR,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J6CR,2026,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.25,8.00,112,28%,6.22,39%,236,Very High,2048,56.7,84%,36.7,79%,82%,71.0,Firepower High
J6FC+,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/j6fc,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.25,8.13,118,71%,6.60,66%,239,,,,,,,,,
J6NF,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J6NF,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.25,8.10,118,71%,6.57,64%,240,Very High,2050,56.3,68%,36.4,62%,65%,64.0,Firepower Balanced
J7NF,Honolulu Pickleball,$195.00,PBEFFECT,https://a8qh.short.gy/J7NF,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,6.00,4.13,8.00,116,57%,5.91,20%,239,,,,,,,,,
Sword & Shield J2,Honolulu Pickleball,$145.00,PBEFFECT,https://a8qh.short.gy/J2,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,7.95,110,18%,6.81,80%,236,,,,,,,,,
Sword & Shield J2K,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J2K,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.22,115,49%,7.10,90%,237,High,1948,55.1,28%,36.4,62%,45%,48.0,Firepower Control+
Sword & Shield J2K+,Honolulu Pickleball,$165.00,PBEFFECT,https://a8qh.short.gy/J2K+,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.13,8.26,115,49%,7.10,90%,238,High,1983,55.0,26%,36.0,41%,33%,44.0,Firepower Control+
Sword & Shield J2Ti,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J2Ti,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,8.05,111,23%,6.60,66%,235,,,,,,,,,
Sword & Shield J2Ti+,Honolulu Pickleball,$165.00,PBEFFECT,https://a8qh.short.gy/J2Ti+,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.13,8.30,116,57%,7.16,92%,239,,,,,,,,,
Sword & Shield J3k,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J3K,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,All-Court,16,6.00,4.13,8.28,117,64%,7.22,93%,239,,,,,,,,,
Sword & Shield J7K,Honolulu Pickleball,$155.00,PBEFFECT,https://a8qh.short.gy/J7K,2024,USAP,Extra-elongated,Raw Texture/Peel Ply,Gen 2,Power,16,6.00,4.13,8.25,123,92%,6.36,51%,242,,,,,,,,,
Mage Pro,Hudef,$99.00,PBEFFECT,https://a8qh.short.gy/Mage,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Control,16,5.35,4.00,7.77,113,35%,6.13,33%,241,,,,,,,,,
Viva Pro Gen 2,Hudef,$129.99,PBEFFECT,https://a8qh.short.gy/VGEN2,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.06,125,97%,6.43,55%,251,Medium,1854,55.5,37%,35.4,20%,29%,46.0,Firepower Control+
Viva Pro Gen 3,Hudef,$169.99,PBEFFECT,https://a8qh.short.gy/G3,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,7.76,119,78%,6.16,36%,250,,,,,,,,,
Agassi Edge (16mm),JOOLA,$99.95,N/A,https://a8qh.short.gy/AE16,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,4.25,7.80,109,13%,5.47,4%,236,,,,,,,,,
Agassi Pro (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/AP14,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,8.10,116,57%,6.02,26%,240,Very High,2026,56.4,74%,36.8,82%,78%,68.0,Firepower High
Agassi Pro (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/ap16,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.17,117,64%,6.14,33%,238,Very High,2014,,,,,,,
Hyperion 3S (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SH14,2024,UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.85,115,49%,6.01,25%,245,High,1967,55.9,52%,36.2,51%,51%,57.0,Firepower Balanced
Hyperion 3S (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SH16,2024,UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.90,115,49%,6.12,32%,244,High,1989,57.2,96%,36.9,85%,90%,79.0,Firepower High
Magnus 3S (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SM14,2024,UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.00,4.13,7.90,113,35%,6.13,33%,240,,,,,,,,,
Magnus 3S (16mm),JOOLA,$275.00,N/A,https://a8qh.short.gy/Mag14,2024,UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.14,118,71%,6.45,56%,242,High,1949,,,,,,,
Mod TA-15 (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/Mod16,2024,Unapproved,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.84,116,57%,6.10,30%,244,Very High,2014,57.8,99%,37.2,95%,97%,89.0,Firepower Elite
Mod-TA-15 (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/mod14,2024,Unapproved,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.56,112,28%,5.77,11%,243,Very High,2044,58.4,100%,37.9,99%,100%,100.0,Firepower Elite
Perseus (14 mm),JOOLA,$249.99,N/A,https://a8qh.short.gy/P14,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.13,7.93,121,86%,5.77,11%,247,,,,,,,,,
Perseus (16 mm),JOOLA,$249.99,N/A,https://a8qh.short.gy/P16,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.25,7.85,117,64%,5.87,16%,244,Low,1818,52.8,2%,34.8,8%,5%,6.0,Firepower Soft
Perseus 3S (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SP14,2024,UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.90,117,64%,6.00,24%,244,,,56.4,74%,37.0,89%,81%,70.0,Firepower High
Perseus Pro IV (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/PP14,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.95,116,57%,6.08,29%,241,High,1964,56.1,61%,37.1,92%,77%,66.0,Firepower High
Perseus Pro IV (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/PP416,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.20,118,71%,6.29,45%,242,High,1971,56.5,77%,36.9,85%,81%,70.0,Firepower High
Scorpeus (14 mm),JOOLA,$249.99,N/A,https://a8qh.short.gy/S14,2023,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.25,4.13,7.65,108,10%,6.45,56%,238,Medium,1856,52.8,2%,35.6,27%,15%,12.0,Firepower Soft
Scorpeus (16 mm),JOOLA,$249.99,N/A,https://a8qh.short.gy/S16,2023,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,Control,16,5.25,4.25,8.02,113,35%,6.86,83%,238,Low,1845,52.6,2%,34.6,6%,4%,2.0,Firepower Soft
Scorpeus 3S (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/3SS14,2024,UPA-A,Widebody,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,7.85,111,23%,6.78,78%,240,Very High,2068,56.0,56%,36.5,67%,62%,61.0,Firepower Balanced
Scorpeus 3S (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/S3S16,2024,UPA-A,Widebody,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.12,116,57%,7.23,93%,241,Very High,2011,56.2,65%,37.2,95%,80%,68.0,Firepower High
Scorpeus Pro IV (14mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/S414,2025,USAP/UPA-A,Widebody,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,8.16,111,23%,7.04,89%,237,Very High,2002,56.7,84%,36.4,62%,73%,69.0,Firepower High
Scorpeus Pro IV (16 mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/S416,2025,USAP/UPA-A,Widebody,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.16,111,23%,7.09,89%,236,Very High,2027,56.6,81%,36.7,79%,80%,70.0,Firepower High
Hyperion 3S (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/H3S16,2024,UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.89,115,49%,6.10,30%,243,Very High,2010,56.6,81%,36.6,72%,77%,69.0,Firepower High
Perseus 3S (16mm),JOOLA,$279.95,N/A,https://a8qh.short.gy/P3S16,2024,UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,8.00,121,86%,6.27,44%,245,High,1983,56.4,74%,36.7,79%,76%,67.0,Firepower High
Glider,Luzz,$129.00,PBEFFECT,https://a8qh.short.gy/glid,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.30,4.15,7.87,107,6%,6.14,33%,236,Very High,2077,56.1,61%,36.2,51%,56%,60.0,Firepower Balanced
Pro Blade 2,LUZZ,,PBEFFECT,Coming Soon,2026,USAP/UPA-A,,Raw Texture/Peel Ply,Gen 4,,14,5.50,4.13,7.90,116,57%,6.01,25%,240,,,,,,,,,
Pro Cannon,Luzz,$109.00,PBEFFECT,https://a8qh.short.gy/cannon,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.90,119,78%,6.21,39%,244,Very High,2076,56.8,86%,36.6,72%,79%,72.0,Firepower High
Pro-4 Inferno,Luzz,$229.00,PBEFFECT,https://a8qh.short.gy/inferno,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.88,119,78%,6.17,36%,244,Very High,2027,57.1,95%,37.1,92%,94%,79.0,Firepower High
Tornazo,Luzz,$229.00,PBEFFECT,https://a8qh.short.gy/tornazo,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.25,7.90,118,71%,6.05,28%,245,Very High,2111,56.9,90%,36.9,85%,88%,75.0,Firepower High
02 R3,Mark,$189.99,PBEFFECT,https://a8qh.short.gy/m02r3,2026,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.60,4.13,8.00,117,64%,5.89,17%,242,,,,,,,,,
One,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/One,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.13,8.18,119,78%,6.57,64%,242,,,,,,,,,
OneX,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/OneX,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.75,4.13,7.94,117,64%,6.46,57%,244,,,,,,,,,
Two,Mark,$159.99,PBEFFECT,https://a8qh.short.gy/M2,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,4.13,8.24,123,92%,6.66,71%,245,,,,,,,,,
